scenario	arm_set	metabolite_id	exchange_id	pairs	unanimous_ties	matched_supported	independent_supported	unanimous_positive	unanimous_negative	opposing_nonzero_signs	mixed_ties_one_direction	point_unanimous_nontied	point_unanimous_nontied_coverage	unanimous_ties_coverage	matched_supported_coverage	independent_supported_coverage
primary	five_power	core_074	EX_lys__L_e	1078	987	0	0	0	0	0	91	0	0.0	0.9155844155844156	0.0	0.0
primary	five_power	core_075	EX_mal__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_076	EX_met__L_e	1078	15	682	607	297	389	311	66	686	0.6363636363636364	0.013914656771799629	0.6326530612244898	0.5630797773654916
primary	five_power	core_077	EX_nac_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_078	EX_ncam_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_080	EX_orn_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_081	EX_orot_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_085	EX_phe__L_e	1078	901	0	0	0	0	0	177	0	0.0	0.8358070500927643	0.0	0.0
primary	five_power	core_088	EX_pro__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_091	EX_sbt__D_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_092	EX_ser__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_094	EX_sprm_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_095	EX_srtn_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_096	EX_succ_e	1078	79	484	428	264	222	339	174	486	0.45083487940630795	0.07328385899814471	0.4489795918367347	0.3970315398886827
primary	five_power	core_098	EX_taur_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_099	EX_tchola_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_102	EX_thr__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_103	EX_thym_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_104	EX_thymd_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_110	EX_ump_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_111	EX_ura_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_112	EX_urate_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_113	EX_uri_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_114	EX_val__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	five_power	core_115	EX_xan_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_006	EX_4abut_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_016	EX_ala__L_e	1078	47	132	18	61	71	514	385	132	0.12244897959183673	0.04359925788497217	0.12244897959183673	0.016697588126159554
primary	six_including_ordinal	core_018	EX_anth_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_024	EX_cala_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_026	EX_chol_e	1078	820	0	0	0	0	0	258	0	0.0	0.7606679035250464	0.0	0.0
primary	six_including_ordinal	core_027	EX_cholp_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_028	EX_cit_e	1078	628	0	0	0	0	0	450	0	0.0	0.5825602968460112	0.0	0.0
primary	six_including_ordinal	core_030	EX_cmp_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_032	EX_crn_e	1078	859	0	0	0	0	9	210	0	0.0	0.7968460111317254	0.0	0.0
primary	six_including_ordinal	core_035	EX_cytd_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_039	EX_dhap_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_041	EX_duri_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_044	EX_fum_e	1078	0	378	174	172	206	583	117	378	0.35064935064935066	0.0	0.35064935064935066	0.1614100185528757
primary	six_including_ordinal	core_049	EX_glcur_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_050	EX_gln__L_e	1078	943	0	0	0	0	0	135	0	0.0	0.8747680890538033	0.0	0.0
primary	six_including_ordinal	core_051	EX_glu__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_052	EX_gly_e	1078	78	77	13	29	49	282	640	78	0.07235621521335807	0.07235621521335807	0.07142857142857142	0.012059369202226345
primary	six_including_ordinal	core_053	EX_glyald_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_056	EX_glyc3p_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_062	EX_hom__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_063	EX_hxan_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_064	EX_icit_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_067	EX_ins_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_069	EX_L2aadp_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_070	EX_lac__L_e	1078	1	298	0	148	151	686	92	299	0.27736549165120594	0.0009276437847866419	0.2764378478664193	0.0
primary	six_including_ordinal	core_072	EX_leu__L_e	1078	943	0	0	0	0	0	135	0	0.0	0.8747680890538033	0.0	0.0
primary	six_including_ordinal	core_073	EX_Lkynr_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_074	EX_lys__L_e	1078	386	0	0	0	0	27	665	0	0.0	0.3580705009276438	0.0	0.0
primary	six_including_ordinal	core_075	EX_mal__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_076	EX_met__L_e	1078	0	303	51	132	173	730	43	305	0.2829313543599258	0.0	0.2810760667903525	0.04730983302411874
primary	six_including_ordinal	core_077	EX_nac_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_078	EX_ncam_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_080	EX_orn_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_081	EX_orot_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_085	EX_phe__L_e	1078	157	0	0	0	0	96	825	0	0.0	0.1456400742115028	0.0	0.0
primary	six_including_ordinal	core_088	EX_pro__L_e	1078	987	0	0	0	0	0	91	0	0.0	0.9155844155844156	0.0	0.0
primary	six_including_ordinal	core_091	EX_sbt__D_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_092	EX_ser__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_094	EX_sprm_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_095	EX_srtn_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_096	EX_succ_e	1078	16	250	45	131	120	547	264	251	0.23283858998144713	0.014842300556586271	0.23191094619666047	0.041743970315398886
primary	six_including_ordinal	core_098	EX_taur_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_099	EX_tchola_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_102	EX_thr__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_103	EX_thym_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_104	EX_thymd_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_110	EX_ump_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_111	EX_ura_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_112	EX_urate_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_113	EX_uri_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_114	EX_val__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
primary	six_including_ordinal	core_115	EX_xan_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_006	EX_4abut_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_016	EX_ala__L_e	1078	176	36	0	25	11	28	838	36	0.03339517625231911	0.16326530612244897	0.03339517625231911	0.0
half_serum	five_power	core_018	EX_anth_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_024	EX_cala_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_026	EX_chol_e	1078	232	0	0	0	0	10	836	0	0.0	0.21521335807050093	0.0	0.0
half_serum	five_power	core_027	EX_cholp_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_028	EX_cit_e	1078	493	0	0	0	0	11	574	0	0.0	0.45732838589981445	0.0	0.0
half_serum	five_power	core_030	EX_cmp_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_032	EX_crn_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_035	EX_cytd_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_039	EX_dhap_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_041	EX_duri_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_044	EX_fum_e	1078	592	38	37	10	28	48	400	38	0.03525046382189239	0.549165120593692	0.03525046382189239	0.03432282003710575
half_serum	five_power	core_049	EX_glcur_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_050	EX_gln__L_e	1078	111	38	29	9	29	108	821	38	0.03525046382189239	0.10296846011131726	0.03525046382189239	0.026901669758812616
half_serum	five_power	core_051	EX_glu__L_e	1078	0	323	39	114	209	649	106	323	0.29962894248608535	0.0	0.29962894248608535	0.036178107606679034
half_serum	five_power	core_052	EX_gly_e	1078	73	0	0	0	0	147	858	0	0.0	0.06771799628942486	0.0	0.0
half_serum	five_power	core_053	EX_glyald_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_056	EX_glyc3p_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_062	EX_hom__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_063	EX_hxan_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_064	EX_icit_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_067	EX_ins_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_069	EX_L2aadp_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_070	EX_lac__L_e	1078	0	475	210	217	258	579	24	475	0.44063079777365494	0.0	0.44063079777365494	0.19480519480519481
half_serum	five_power	core_072	EX_leu__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_073	EX_Lkynr_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_074	EX_lys__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_075	EX_mal__L_e	1078	66	600	526	373	227	198	214	600	0.5565862708719852	0.061224489795918366	0.5565862708719852	0.48794063079777367
half_serum	five_power	core_076	EX_met__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_077	EX_nac_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_078	EX_ncam_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_080	EX_orn_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_081	EX_orot_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_085	EX_phe__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_088	EX_pro__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_091	EX_sbt__D_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_092	EX_ser__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_094	EX_sprm_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_095	EX_srtn_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_096	EX_succ_e	1078	0	207	4	99	108	729	142	207	0.19202226345083487	0.0	0.19202226345083487	0.0037105751391465678
half_serum	five_power	core_098	EX_taur_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_099	EX_tchola_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_102	EX_thr__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_103	EX_thym_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_104	EX_thymd_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_110	EX_ump_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_111	EX_ura_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_112	EX_urate_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_113	EX_uri_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_114	EX_val__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	five_power	core_115	EX_xan_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_006	EX_4abut_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_016	EX_ala__L_e	1078	61	34	0	23	11	244	739	34	0.03153988868274583	0.05658627087198516	0.03153988868274583	0.0
half_serum	six_including_ordinal	core_018	EX_anth_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_024	EX_cala_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_026	EX_chol_e	1078	102	0	0	0	0	212	764	0	0.0	0.09461966604823747	0.0	0.0
half_serum	six_including_ordinal	core_027	EX_cholp_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_028	EX_cit_e	1078	124	0	0	0	0	232	722	0	0.0	0.1150278293135436	0.0	0.0
half_serum	six_including_ordinal	core_030	EX_cmp_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_032	EX_crn_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_035	EX_cytd_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_039	EX_dhap_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_041	EX_duri_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_044	EX_fum_e	1078	592	0	0	0	0	48	438	0	0.0	0.549165120593692	0.0	0.0
half_serum	six_including_ordinal	core_049	EX_glcur_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_050	EX_gln__L_e	1078	0	34	4	8	26	549	495	34	0.03153988868274583	0.0	0.03153988868274583	0.0037105751391465678
half_serum	six_including_ordinal	core_051	EX_glu__L_e	1078	0	132	0	38	94	742	204	132	0.12244897959183673	0.0	0.12244897959183673	0.0
half_serum	six_including_ordinal	core_052	EX_gly_e	1078	26	0	0	0	0	471	581	0	0.0	0.02411873840445269	0.0	0.0
half_serum	six_including_ordinal	core_053	EX_glyald_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_056	EX_glyc3p_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_062	EX_hom__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_063	EX_hxan_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_064	EX_icit_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_067	EX_ins_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_069	EX_L2aadp_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_070	EX_lac__L_e	1078	0	315	0	160	155	750	13	315	0.2922077922077922	0.0	0.2922077922077922	0.0
half_serum	six_including_ordinal	core_072	EX_leu__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_073	EX_Lkynr_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_074	EX_lys__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_075	EX_mal__L_e	1078	66	0	0	0	0	198	814	0	0.0	0.061224489795918366	0.0	0.0
half_serum	six_including_ordinal	core_076	EX_met__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_077	EX_nac_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_078	EX_ncam_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_080	EX_orn_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_081	EX_orot_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_085	EX_phe__L_e	1078	739	0	0	0	0	0	339	0	0.0	0.6855287569573284	0.0	0.0
half_serum	six_including_ordinal	core_088	EX_pro__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_091	EX_sbt__D_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_092	EX_ser__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_094	EX_sprm_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_095	EX_srtn_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_096	EX_succ_e	1078	0	27	0	18	9	749	302	27	0.02504638218923933	0.0	0.02504638218923933	0.0
half_serum	six_including_ordinal	core_098	EX_taur_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_099	EX_tchola_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_102	EX_thr__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_103	EX_thym_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_104	EX_thymd_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_110	EX_ump_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_111	EX_ura_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_112	EX_urate_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_113	EX_uri_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_114	EX_val__L_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
half_serum	six_including_ordinal	core_115	EX_xan_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
lower_task	five_power	core_006	EX_4abut_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
lower_task	five_power	core_016	EX_ala__L_e	1078	146	0	0	0	0	4	928	0	0.0	0.13543599257884972	0.0	0.0
lower_task	five_power	core_018	EX_anth_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
lower_task	five_power	core_024	EX_cala_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
lower_task	five_power	core_026	EX_chol_e	1078	161	0	0	0	0	2	915	0	0.0	0.14935064935064934	0.0	0.0
lower_task	five_power	core_027	EX_cholp_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
lower_task	five_power	core_028	EX_cit_e	1078	276	0	0	0	0	79	723	0	0.0	0.2560296846011132	0.0	0.0
lower_task	five_power	core_030	EX_cmp_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
lower_task	five_power	core_032	EX_crn_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
lower_task	five_power	core_035	EX_cytd_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
lower_task	five_power	core_039	EX_dhap_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
lower_task	five_power	core_041	EX_duri_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
lower_task	five_power	core_044	EX_fum_e	1078	105	143	141	68	88	108	709	156	0.14471243042671614	0.09740259740259741	0.1326530612244898	0.13079777365491652
lower_task	five_power	core_049	EX_glcur_e	1078	1078	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0
