reaction_id	gpr	supported_all_expression_contexts	missing_context_count	reason
ALCD22_D	126_AT1 or 137872_AT1 or (126_AT1 and 124_AT1) or 127_AT1 or 130_AT1 or 284273_AT1 or (125_AT1 and 124_AT1) or 128_AT1 or 124_AT1 or 125_AT1 or 284273_AT2 or 131_AT1 or (125_AT1 and 126_AT1)	True	0	complete measured GPR alternative
ALCD2y	10327_AT1 or 10327_AT2	True	0	complete measured GPR alternative
ALDD20xm	219_AT1 or 8659_AT1 or 217_AT1 or 8659_AT2	True	0	complete measured GPR alternative
ALDD2xm	219_AT1 or 217_AT1	True	0	complete measured GPR alternative
ALDD2y	223_AT1 or 221_AT1 or 218_AT1 or 8854_AT1 or 8854_AT3 or 222_AT1 or 8854_AT2 or 224_AT1 or 219_AT1	True	0	complete measured GPR alternative
ALOX15	247_AT1 or 246_AT1	True	0	complete measured GPR alternative
ALR2	10327_AT2 or 8574_AT1 or 10327_AT1 or 231_AT1	True	0	complete measured GPR alternative
ALR3	10327_AT2 or 8574_AT1 or 10327_AT1 or 231_AT1	True	0	complete measured GPR alternative
AMACR2p	23600_AT1 or 23600_AT2	True	0	complete measured GPR alternative
AMACRp	23600_AT2 or 23600_AT1	True	0	complete measured GPR alternative
AMETt2m	115286_AT3 or 115286_AT2 or 115286_AT1	False	59	no complete measured alternative in every retained context
AMPDA	271_AT2 or 270_AT1 or 271_AT1 or 272_AT1 or 271_AT3	True	0	complete measured GPR alternative
AMY2e	6520_AT1 or 280_AT1 or 278_AT1 or 276_AT1 or 277_AT1 or (6519_AT1 and 11136_AT1) or 276_AT2 or 279_AT1	True	0	complete measured GPR alternative
ANDRSTRNGLCte	4363_AT1	True	0	complete measured GPR alternative
APRTO2	4128_AT1 or 4129_AT1	True	0	complete measured GPR alternative
ARABR	10327_AT2 or 8574_AT1 or 10327_AT1 or 231_AT1	True	0	complete measured GPR alternative
ARACHDt2	10998_AT1	True	0	complete measured GPR alternative
ARGDCm	113451_AT1	False	59	no complete measured alternative in every retained context
ARGLYSex	9057_AT1 and 6520_AT1	True	0	complete measured GPR alternative
ARGSS	445_AT1 or 445_AT2	True	0	complete measured GPR alternative
ARGt4	11254_AT1	True	0	complete measured GPR alternative
ASNCYSNaEx	6510_AT1	True	0	complete measured GPR alternative
ASNGLNNaEx	6510_AT1	True	0	complete measured GPR alternative
ASNNm	80150_AT1	True	0	complete measured GPR alternative
ASNS1	440_AT1 or 440_AT3 or 440_AT2	True	0	complete measured GPR alternative
ASNt4	81539_AT1 or 11254_AT1 or 54407_AT1 or 55089_AT1 or (340024_AT1 and 57393_AT1) or (340024_AT1 and 59272_AT1)	True	0	complete measured GPR alternative
ASPGLUm	8604_AT1 or 10165_AT1	True	0	complete measured GPR alternative
ASPt6	6511_AT1 or 6505_AT1 or 6507_AT1 or 6506_AT1 or 6512_AT1	True	0	complete measured GPR alternative
ASPTAm	2806_AT1	True	0	complete measured GPR alternative
BILGLCURte	4363_AT1	True	0	complete measured GPR alternative
BILIRED	645_AT1 or 644_AT1	True	0	complete measured GPR alternative
